Title,Price,Date
Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,                  $9.99,25/03/2023
Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,                  $9.99,25/03/2023
Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,                  $9.99,25/03/2023
Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,                  $9.99,25/03/2023
Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,                  $9.99,25/03/2023
Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,                  $9.99,25/03/2023
Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,"
                  $9.99
                 

                  $9.99",25/03/2023
Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,"
                  $9.99
                 

                  $9.99",25/03/2023
Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,"
                  $9.99
                 

                  $9.99",25/03/2023
Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,"
                  $9.99
                 

                  $9.99",25/03/2023
Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,"
                  $9.99
                 

                  $9.99",25/03/2023
